id,name,unlock,ingredients,theme,recipe_type
weapon_rusted_sword,Rusted Sword,Forge Lv1,3 Iron Ore + 2 Old Wood,Generic,forge_weapon
weapon_broken_axe,Broken Axe,Forge Lv1,4 Iron Ore + 1 Old Wood,Generic,forge_weapon
weapon_funeral_blade,Funeral Blade,Chapter I Boss,4 Iron Ore + 2 Ashwood + 3 Shadow Residue + 1 Fallen Rain Pearl,Funebre / Shadow,forge_weapon
weapon_ashen_spear,Ashen Spear,Ombre du Dragon defeated,5 Iron Ore + 3 Ashwood + 3 Spectral Dust + 1 Dragon Ash Core,Dragon Ash,forge_weapon
weapon_frostfang_dagger,Frostfang Dagger,Chapter II,4 Cold Iron + 2 Sapphire + 2 Frozen Echo + 1 Frost Amalgam Core,Frost Assassin,forge_weapon
weapon_arathas_staff,Arathas Staff,Archimage defeated,3 Silver Ore + 2 Sapphire + 4 Frozen Echo + 1 Archmage Sigil,Arcane Frost,forge_weapon
armor_spectral_hood,Spectral Hood,Chapter I,3 Ashwood + 4 Spectral Dust,Funebre,forge_armor
armor_mourning_cape,Mourning Cape,Chapter I,2 Ashwood + 5 Spectral Dust,Funebre,forge_armor
armor_frozen_crown,Frozen Crown,Allaeva defeated,2 Pale Diamond + 3 Cold Iron + 4 Frozen Echo + 1 Frozen Queen Tear,Royal Frost,forge_armor
ring_gravekeeper,Gravekeeper Ring,Chapter I,2 Quartz + 3 Spectral Dust,Funebre,forge_accessory
necklace_queens_tear,Queen's Tear Necklace,Allaeva defeated,1 Pale Diamond + 2 Sapphire + 1 Frozen Queen Tear,Royal Frost,forge_accessory
offhand_icebound_grimoire,Icebound Grimoire,Chapter II,2 Sapphire + 3 Frozen Echo + 1 Archmage Sigil,Frost Corruption,forge_accessory
